text,label
when is the next shuttle,next_departure
when does the next bus leave from here,next_departure
how long until the next one comes,next_departure
what time is the next departure from avon station,next_departure
next shuttle from city market please,next_departure
is there another bus tonight,next_departure
when's the following bus after this one,next_departure
how many minutes till the next pickup,next_departure
what time does the red line come to elk lot,next_departure
next departure walmart,next_departure
when will a shuttle show up at comfort inn,next_departure
do i have time to grab a coffee before the next bus,next_departure
what's the next bus out of westgate plaza,next_departure
how frequently do these run,next_departure
how often does the blue line come by,next_departure
when is the last one tonight from avon station,next_departure
give me the upcoming departures at lake street,next_departure
what time does the next one arrive here,next_departure
is the next shuttle soon,next_departure
schedule for christie lodge,next_departure
times for the avon east route at river edge,next_departure
"i just missed one, when's the next",next_departure
when's the following departure,next_departure
tell me the next three buses from avon station,next_departure
what time is the next one to buffalo ridge,next_departure
upcoming shuttle times please,next_departure
how long is the wait for the next shuttle here,next_departure
next bus at spring hill suites,next_departure
when does a vehicle next stop at aspens,next_departure
any more shuttles today from elk lot,next_departure
how do i get from walmart to avon station,trip_planning
i want to go from city market to the aspens,trip_planning
what's the best way to reach elk lot from here,trip_planning
route from comfort inn to buffalo ridge east,trip_planning
can i get to westgate plaza from lake street,trip_planning
how many stops to river edge,trip_planning
do i need to change buses to reach christie lodge,trip_planning
which route takes me to spring hill suites,trip_planning
i'm at avon station and i need to get to walmart,trip_planning
plan me a trip to eaglebend north,trip_planning
what bus goes to city market,trip_planning
how long does it take to get from here to stonebridge dr,trip_planning
is there a direct bus to westgate plaza,trip_planning
where do i transfer to reach buffalo ridge west,trip_planning
take me from piedmont eb to loaded joes,trip_planning
getting to christy sports from the aspens,trip_planning
"i need to be at avon station by five, what do i take",trip_planning
which line should i board to reach lake street,trip_planning
can you route me to the elk lot,trip_planning
from northside kitchen to american national bank how,trip_planning
best way to travel to comfort inn,trip_planning
do i have to switch lines to get to river edge,trip_planning
i want to go to walmart,trip_planning
what's the trip from here to avon crossing,trip_planning
how do i reach eaglebend west,trip_planning
journey from city market to sheraton mountain vista,trip_planning
which shuttle connects lake street and elk lot,trip_planning
get me to buffalo ridge east please,trip_planning
how do i travel between piedmont wb and the aspens,trip_planning
directions to westgate plaza by shuttle,trip_planning
where is the closest stop,nearest_stop
which stop am i nearest to,nearest_stop
what's the nearest pickup point,nearest_stop
"i'm lost, where do i catch the shuttle",nearest_stop
closest bus stop to me right now,nearest_stop
where should i wait for the shuttle,nearest_stop
find me the nearest stop,nearest_stop
which stop is walking distance from here,nearest_stop
how far is the closest stop,nearest_stop
where do i board from my current position,nearest_stop
nearest shuttle stop please,nearest_stop
what stop is near me,nearest_stop
"i don't know where i am, find the closest stop",nearest_stop
which pickup location is closest,nearest_stop
where's the stop nearest to my location,nearest_stop
"i'm on foot, what's the closest place to catch it",nearest_stop
point me to the nearest shuttle stop,nearest_stop
what is the closest boarding point,nearest_stop
closest stop to where i'm standing,nearest_stop
which one of your stops is nearest,nearest_stop
where is the stop closest to my gps location,nearest_stop
how far do i have to walk to a stop,nearest_stop
show me the nearest stop on the map,nearest_stop
