text,label
what expression would i use to say i love you if i were an italian,reject
"can you tell me how to say 'i do not speak much spanish', in spanish",reject
"what is the equivalent of, 'life is good' in french",reject
"tell me how to say, 'it is a beautiful morning' in italian",reject
"if i were mongolian, how would i say that i am a tourist",reject
how do i say 'hotel' in finnish,reject
"i need you to translate the sentence, 'we will be there soon' into portuguese",reject
please tell me how to ask for a taxi in french,reject
"can you tell me how i would say, 'more bread please' in french",reject
what is the correct way to say 'i am a visitor' in french,reject
"how would i say, 'i don't know the answer' in spanish",reject
i would like to know the proper way to greet an adult in portuguese,reject
what words would i use to tell someone i am lost if i were japanese,reject
how would i say thank you if i were russian,reject
can you tell me how i would normally say thank you as a french person,reject
i would like to know how to say hello in french,reject
if i were english how would i say subway,reject
i would i say subway if i were english,reject
how do you say hi in french,reject
in england how do they say subway,reject
translate hello in french,reject
how is hello said in french,reject
what do you call a subway if you were english,reject
how would i say if i were english subway,reject
how should i say hello in french,reject
how could i say twin in chinese,reject
how can i say not now in spanish,reject
what do spanish people say for the word cow,reject
translate hello to english,reject
how do you say goodbye in spanish,reject
how would i say love in french,reject
could you translate atm machine into english,reject
please translate grocery into french for me,reject
how do germans say goodnight,reject
tell me how the russians say notebook,reject
how do vietnameses people say hello,reject
how do i say thank you in japanese,reject
what is latin for i love you,reject
how can i thank somebody in italian,reject
how do i say you're welcome in chinese,reject
translate hello english to french,reject
what is hello in french,reject
what phrase means goodbye in hawaii,reject
what spanish word means hello,reject
translate hello to french,reject
translate english to french hello,reject
what is the word for hello spanish,reject
how do they say goodbye in hawaii,reject
what's local slang for goodbye in hawaii,reject
how do you say hello in french,reject
tell me how to say hello in spanish,reject
what do i say for goodbye in hawaii,reject
translate hello into french for me,reject
how do i say hello in french,reject
translate for me hello into french,reject
how would they say say goodbye in hawaii,reject
what is spanish for hello,reject
how would i say hello in french,reject
how can i say i love you in italy,reject
what is spanish for good morning,reject
how do you say it's snowing in german,reject
how would you say can i borrow five dollars in portuguese,reject
do you know how to say where is the restroom in french,reject
how would i say pleased to meet you if i were japanese,reject
can you translate hello into swedish for me,reject
can you translate i love you into french for me,reject
can you translate where's the bar into irish for me,reject
how would i say goodbye if i were norwegian,reject
how would i say i love you if i were french,reject
how would i say hello if i were swedish,reject
can you translate good bye into russian for me,reject
can you translate i have to go pee into korean for me,reject
how would i say i'm not guilty if i were mexican,reject
how do you say thank you in spanish,reject
how does one say thank you in spanish,reject
how can i say thank you in spanish,reject
what is thank you in spanish,reject
what is the way to say thank you in spanish,reject
"how do they say ""who is your father"" in german",reject
"how do they say ""where's the bathroom"" in spanish",reject
"how do they say ""how's it going"" in swahili",reject
"how do they say ""i love you"" in japanese",reject
"how do they say ""what's up"" in chinese",reject
how do you say thank you in german,reject
how do you say please in arabic,reject
how do you say cat in spanish,reject
how do you say i'm hungry in french,reject
how do you say i need coffee in dutch,reject
how do they say yes in brazil,reject
can you translate cat into russian for me,reject
can you translate bowl into russian for me,reject
how do they say hello in france,reject
i wanna know a phrase in spanish,reject
can you translate bat into russian for me,reject
how do they say no in germany,reject
can you translate hi into spanish for me,reject
i wanna learn a phrase in russian,reject
how do they say hello in germany,reject
can you translate milk into spanish for me,reject
how do they say hello in brazil,reject
i need $20000 transferred from my savings to my checking,reject
complete a transaction from savings to checking of $20000,reject
transfer $20000 from my savings account to checking account,reject
take $20000 from savings and put it in checking,reject
put $20000 into my checking account from my savings account,reject
send 100 dollars between bank of the west and bank of america acccounts,reject
send 50 dollars between bank of america and chase accounts,reject
send 2000 dollars between chase and rabobank accounts,reject
send 1200 dollars between usaa and navy federal accounts,reject
send 400 dollars between city bank and usaa accounts,reject
take $40 and transfer it to account a from b,reject
transfer $40 from account a to b,reject
move $40 from account b to account a,reject
put $40 from account a to b,reject
take $40 from account a and transfer it to account b,reject
i need to transfer from this account to that one,reject
need to transfer from one account to my other one,reject
i would like to transfer from one account to my second one,reject
i need to transfer from one account to my second one,reject
i have to transfer from one account to my other one,reject
send fifty dollars from me to carrie,reject
transfer sixty dollars to dad from my biggest accnt,reject
send over a hundred dollars from huntington into saving,reject
move 57 dollars from saving into mom,reject
transfer two hundred dollars between my portfolio and my money market account,reject
i need to transfer ten dollars from my bank of america account to my capital one account,reject
go ahead and send ten dollars from bank of america to capital one,reject
i must transfer ten dollars from my bank of america account to my capital one account,reject
i got to transfer ten dollars from my bank of america account to my capital one account,reject
i want you to send ten dollars from bank of america to capital one,reject
i need you to send ten dollars from bank of america to capital one,reject
i have to transfer ten dollars from my bank of america account to my capital one account,reject
send ten dollars from bank of america to capital one,reject
please send ten dollars from bank of america to capital one,reject
make a transfer of $200 from my savings account to my checking account,reject
please transfer $250 from checking to savings,reject
transfer $500 from my checking to my savings,reject
please transfer $100 from my checking to my savings account,reject
transfer $500 from my money market savings account to my checking account,reject
send money from one account to another,reject
transfer 200 dollars from paypal to savings,reject
transfer $10 from checking to savings,reject
send $100 from paypal to my bank,reject
please transfer 100 dollars between my amazon payments and savings accounts,reject
i would like to make a transfer,reject
i want to transfer funds between accounts,reject
send over 50 dollars between my shared and not shared accounts,reject
whats the quickest way to money from one account to another,reject
what is the process to move money from one account to another,reject
i need you to send 500 dollars from my high tier account to my regular checking account,reject
can you transfer money from a to b,reject
send my money between accounts,reject
how can i send money from one account to another,reject
i need to move money from one account to another,reject
send $20 from debit to steve's account,reject
send 20 dollars from savings to checking,reject
please transfer my funds,reject
please transfer $50 to my checking account from credit,reject
go ahead and move $200 from amazon to my bank account,reject
help me move my money,reject
i need my money to be moved,reject
help me move my money please,reject
i need to move my money,reject
move my money please,reject
i would like to transfer $5 from savings to checking,reject
transfer $5 from savings to checking,reject
can you transfer $5 from savings to checking,reject
send $5 from savings to checking,reject
please transfer $5 from savings to checking,reject
please switch $s checking to mortage,reject
please transfer $s from saving to checking,reject
could you transfer $x from saving to checking,reject
help me transfer $x from credit to debit,reject
please transfer $x from checking to saving,reject
transfer money to another account,reject
requesting money transfer between accounts,reject
transfer money from this account to that account,reject
can you transfer money from my account,reject
money transfer request,reject
send 100 dollars from checking to savings,reject
transfer 100 dollars checking to savings,reject
transfer 100 dollars between checking and savings,reject
take 100 dollars from checking and send it to savings,reject
move 100 dollars from checking to savings,reject
can we wire some money over to the other account i have,reject
time to move some cash from one account to another,reject
i need to throw some money into that other account,reject
let's send some money to another account,reject
i want to initiate a transfer from one account to the other,reject
transfer money from one place to another,reject
move money from one account to another,reject
transfer between two accounts,reject
make a transfer between accounts,reject
send money to another account,reject
i need ten dollars sent from b of a to washington mutual,reject
transfer fifty dollars between my chase and bank of america account,reject
deposit ten bucks from my chase account to my ally account,reject
put a hundred dollars in my ally account from bluebird,reject
i want seventy bucks transferred from b of a to chase,reject
can i initiate a one-time transfer from my savings account to my money market account,reject
please set a 4 minute timer,reject
please set a timer for 6 minutes,reject
set a timer for 5 minutes,reject
i need a 7 minute timer,reject
i need to set the timer for two minutes,reject
can you set a timer for me for fifteen minutes starting now,reject
start the timer now and stop at thirty minutes,reject
i would like you to set the timer to go off in ten minutes,reject
please set a timer for 40 minutes,reject
wake me in an hour,reject
please set a timer for cookies,reject
i want a timer set,reject
remind me in (x) hours,reject
set timer for (x) minutes,reject
i gotta have a 10 minute timer,reject
please set a timer for me,reject
i need a 10 minute timer,reject
i wish to have a 10 minute timer,reject
i really need to set a timer,reject
set a new timer for ten seconds,reject
set a timer for me,reject
i want a 10 minute timer,reject
i gotta set a timer,reject
set a 10 minute timer,reject
set a brand new timer for eight seconds,reject
set a ten second timer,reject
i must set a timer,reject
set a timer for twelve seconds,reject
set a timer for fifteen seconds,reject
tell me when two minutes are up,reject
start a timer for two minutes,reject
set a timer for two minutes,reject
start counting down from two minutes,reject
can you set a timer for two minutes,reject
"""please set 5 minute timer",reject
can u please set the timer for 5 minutes,reject
set timer of 5 minutes,reject
"""can u set a timer for 5 minutes",reject
set a one hour timer,reject
please set a timer for 20 minutes,reject
set a five minute timer please,reject
set a timer for two hours,reject
can you set a two hour timer,reject
set the timer for me please,reject
you need to set the timer for me,reject
i need you to set timer for me,reject
please set the timer for me,reject
i would like a timer set,reject
can you set a timer,reject
i need you to set a time,reject
i need a timer set for 15 minutes,reject
start a countdown for 20 minutes,reject
set a timer for 15 minutes,reject
i'll need you to set a timer for 10 minutes,reject
let's get a timer set for 5 minutes,reject
set a timer for 35 minutes,reject
please start counting down from 10 minutes,reject
let's get a timer going for 10 minutes,reject
i need a timer for 20 seconds,reject
timer 5 minutes,reject
alert me in 20 minutes,reject
give me a 10 minute countdown,reject
let me know in 15 minutes please,reject
"i'm cooking an egg, timer for 3 mins",reject
10 minute timer,reject
start a timer for 10 minutes,reject
timer 10 minutes,reject
count down 10 minutes,reject
make up a timer for me,reject
create a timer for me,reject
can you set a timer for me,reject
i need to set a timer,reject
set up a timer,reject
could you start a timer for me,reject
lets set a timer for me,reject
please run a timer for me,reject
set a one minute timer,reject
set a five minute timer,reject
set a seven minute timer,reject
start a timer for me,reject
set a four minute timer,reject
set a six minute timer,reject
how do i set a timer,reject
i want a timer for 5 minutes,reject
timer for 5 minutes,reject
set a timer to go off in 5 minutes,reject
set timer for 5 minutes,reject
i want to set a timer,reject
make a timer for 5 minutes,reject
please set a timer for,reject
remind me that time is up in sixty minutes,reject
set an alarm for nine minutes from now,reject
tell me when ninety minutes have passed,reject
please set timer for 4 pm,reject
want 5 minute timer,reject
set 30 minute timer,reject
get a 3 minute timer,reject
"please, can you set the timer for me",reject
can you please the timer,reject
will you set the timer,reject
what is the meaning of realism,reject
what is regard mean,reject
what is the meaning of interorganizational,reject
what is it is all relative mean,reject
what is intercontinental mean,reject
what is the meaning of supercede,reject
what is let it be mean,reject
what is the definition of incomprehensible,reject
what is the meaning of stupendous,reject
what is the definition of intelligent,reject
what is good riddance mean,reject
what is break a leg mean,reject
what is the meaning of hyperactive,reject
what is the definition of valor,reject
what is stupedous meant,reject
find the meaning of qat,reject
what the heck is qat,reject
define qat for me,reject
read me a definition for qat,reject
look up qat please,reject
what might the meaning of altruism be,reject
exactly what does altruism mean,reject
what does altruism mean,reject
what is the definition of altruism,reject
what is the meaning of altruism,reject
affiliate's definition is what,reject
the definition of affiliate is,reject
what's the meaning of affiliate,reject
what's affiliate definition,reject
definition of affiliate is what,reject
whats the definition of poor,reject
"describe the meaning of ""dog",reject
"what does ""money"" mean",reject
tell me what the word die means,reject
what is the definition of succumb,reject
what is the meaning of telepathy,reject
what does tertiary mean,reject
tell me the definition of the word redemption,reject
what is the meaning of the word lux,reject
what is an ataraxy,reject
what does the word ataraxy mean,reject
what does ataraxy mean,reject
use the word ataraxy in a sentence,reject
define ataraxy,reject
what does discretionary mean,reject
define discretionary,reject
i want to know the definition of discretionary,reject
can you give the definition of deiscretionary,reject
let's hear the definition of iridium,reject
what's the definition of analogy,reject
can you tell me the definition of sucrose,reject
definition of anachronism,reject
what's the definition of patriarchy,reject
can you tell me the definition of yttrbium,reject
please share the definition of episcopalian,reject
what does saffron mean,reject
define sonogram,reject
define thoroughbred,reject
what's the meaning of a fortnight,reject
what is an anachronism,reject
what's the meaning of emulsify,reject
tell me what cyst means,reject
what is the definition of flange,reject
tell me what flange means,reject
define flange,reject
flange means what,reject
what is the meaning of flange,reject
"what does ""rescind"" mean",reject
"what is the meaning of word ""rescind",reject
"is ""rescind"" a word of positive connotation",reject
"where i can use word ""rescind",reject
read me the definition of ajar,reject
what does ajar mean,reject
can you show me the dictionary definition of ajar,reject
tell me what monstrosity means,reject
give me the definition of ajar,reject
what is the definition of didactic,reject
i need to know what adumbrate means can you look it up for me now,reject
i want to know what the word discomfit means,reject
find what the word diaphanous mean please,reject
do you know what calumny means  please look it up for me,reject
find out what the word abrogate means for me,reject
tell me what edict means,reject
what does the word abjure mean,reject
can you tell me what dirge means,reject
tell me what the word arboreal means,reject
whats the definition of transmute,reject
what is the meaning of the word slander,reject
what is meant by defense,reject
tell me what the word bounty means,reject
what does deceive mean,reject
define zesty,reject
look up zesty in dictionary,reject
definition of zesty,reject
what is the definition of zesty,reject
what does zesty mean,reject
tell me what alternative means,reject
what does alternative mean,reject
give me the meaning of alternative,reject
tell me the meaning of alternative,reject
does life have meaning,reject
is being alive the meaning of life,reject
what is the real meaning of life,reject
what is the answer to the meaning of life,reject
is there really an answer to the meaning of life,reject
does life have a meaning,reject
who can tell me if there's any meaning to life,reject
what makes life have any meaning,reject
why do you think we're here,reject
what's the answer to existence,reject
what's the point of sentience,reject
what's the purpose of existence,reject
what's the purpose of life,reject
what's the point of this dumpster fire known as life,reject
what is life's meaning,reject
is there a greater purpose in life,reject
what is our purpose in life,reject
how is life in existence,reject
what's lifes meaning,reject
what exactly is the meaning of life,reject
whats lifes meaning exactly,reject
what's the meaning of this life,reject
what is the meaning of life here,reject
does my life have meaning,reject
i wish to know the meaning of life,reject
i wanna know the meaning of life,reject
i wanna know the point of life,reject
i need to know the point of life,reject
i must know the point of life,reject
tell the meaning of life,reject
i gotta know the meaning of life,reject
